date,HUFL,HULL,MUFL,MULL,LUFL,LULL,OT
2016/7/1 0:00,5.827,2.009,1.599,0.462,4.203,1.34,30.531
2016/7/1 1:00,5.693,2.076,1.492,0.426,4.142,1.371,27.787
2016/7/1 2:00,5.157,1.741,1.279,0.355,3.777,1.218,27.787
2016/7/1 3:00,5.09,1.942,1.279,0.391,3.807,1.279,25.044
2016/7/1 4:00,5.358,1.942,1.492,0.462,3.868,1.279,21.948
2016/7/1 5:00,5.626,2.143,1.528,0.533,4.051,1.371,21.174
2016/7/1 6:00,7.167,2.947,2.132,0.782,5.026,1.858,22.792
2016/7/1 7:00,7.435,3.282,2.31,1.031,5.087,2.224,23.144
2016/7/1 8:00,5.559,3.014,2.452,1.173,2.955,1.432,21.667
2016/7/1 9:00,4.555,2.545,1.919,0.817,2.68,1.371,17.446
2016/7/1 10:00,4.957,2.545,1.99,0.853,2.955,1.492,19.979
2016/7/1 11:00,5.76,2.545,2.203,0.853,3.442,1.492,20.119
2016/7/1 12:00,4.689,2.545,1.812,0.853,2.833,1.523,19.205
2016/7/1 13:00,4.689,2.679,1.777,1.244,3.107,1.614,18.572
2016/7/1 14:00,5.09,2.947,2.452,1.35,2.559,1.432,19.556
2016/7/1 15:00,5.09,3.148,2.487,1.35,2.589,1.523,17.305
2016/7/1 16:00,4.22,2.411,1.706,0.782,2.619,1.492,19.486
2016/7/1 17:00,4.756,2.344,1.635,0.711,3.076,1.492,19.134
2016/7/1 18:00,5.626,2.88,2.523,1.208,3.076,1.492,20.682
2016/7/1 19:00,5.492,3.014,2.452,1.208,3.015,1.553,18.712
2016/7/1 20:00,5.358,3.014,2.452,1.208,2.863,1.523,17.868
2016/7/1 21:00,5.09,2.947,2.381,1.208,2.68,1.523,18.009
2016/7/1 22:00,4.823,2.947,2.203,1.173,2.619,1.523,18.009
2016/7/1 23:00,4.622,2.88,2.132,1.137,2.467,1.492,19.768
2016/7/2 0:00,5.224,3.081,2.701,1.315,2.437,1.523,21.104
2016/7/2 1:00,5.157,3.014,2.878,1.35,2.345,1.432,19.697
2016/7/2 2:00,5.157,3.148,2.878,1.492,2.284,1.432,20.049
2016/7/2 3:00,5.157,3.081,2.914,1.492,2.193,1.401,20.752
2016/7/2 4:00,4.555,3.081,2.452,1.492,2.193,1.401,21.385
2016/7/2 5:00,5.425,3.282,3.092,1.706,2.437,1.462,22.23
2016/7/2 6:00,5.492,3.282,2.523,1.492,2.985,1.462,20.26
2016/7/2 7:00,5.626,3.215,2.487,1.492,3.076,1.523,21.104
2016/7/2 8:00,5.559,3.282,2.594,1.67,2.924,1.523,20.612
2016/7/2 9:00,5.224,3.215,2.559,1.564,2.68,1.462,18.361
2016/7/2 10:00,9.913,4.957,6.645,3.305,3.046,1.553,20.963
2016/7/2 11:00,11.788,5.425,8.173,2.523,3.686,1.675,19.416
2016/7/2 12:00,9.645,4.957,6.752,2.132,3.107,1.828,20.823
2016/7/2 13:00,10.382,5.76,7.462,2.559,2.985,1.767,20.19
2016/7/2 14:00,8.774,4.689,6.112,2.025,2.894,1.919,21.315
2016/7/2 15:00,10.449,5.157,6.965,2.452,2.772,1.736,22.019
2016/7/2 16:00,9.846,4.823,7.036,2.665,2.894,1.767,20.682
2016/7/2 17:00,9.913,4.823,6.894,2.416,3.229,1.736,25.466
2016/7/2 18:00,10.65,4.689,6.929,2.452,3.381,1.797,25.888
2016/7/2 19:00,10.114,4.354,6.645,1.812,3.107,1.736,27.857
2016/7/2 20:00,9.98,4.153,6.574,1.954,3.411,1.767,27.295
2016/7/2 21:00,9.31,4.22,6.005,2.132,3.229,1.858,22.23
